id,status,name,company_type,Type,cidade,estado,carteira,Assinatura,Novo company_type,Nova carteira
120,inactive,Stop Car Veículos (ANP),Revenda,company,Anápolis,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
1383,inactive,Milano Motors,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
1614,inactive,Golden Veículos,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
5351,inactive,Ersio Automóveis,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
8320,inactive,Paetto Veiculos,Revenda,company,Jataí,Goiás,Carteira UsadosBR,#N/A,Concessionárias,
9127,inactive,Automar Veículos,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
9743,inactive,M Motors,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
9884,inactive,Amorim Veículos,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
12712,inactive,"Credicarro - Negócios, Intermediações e Financiamentos",Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
15074,inactive,Lg Veículos,Revenda,company,Brasília,Distrito Federal,Carteira UsadosBR,#N/A,Revendas,Diogo Ramos
15075,inactive,ALEX CAR,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
24914,inactive,Tinelli Automóveis,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
24915,active,Wellington Veículos,Revenda,company,Goiânia,Goiás,Carteira CS - Kelly Viana,Plano Revenda 40,Revendas,Gabriela Silva
24916,inactive,Barbosa Loja Ii,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
24918,inactive,Oliveira Veículos,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
24919,inactive,Moraes Automóveis,Revenda,company,Goiânia,Goiás,Carteira CS - Rita Moregola,#N/A,Revendas,Gabriela Silva
24920,active,UniAuto,Revenda,company,Goiânia,Goiás,Carteira CS - Kelly Viana,Anuncio Revenda Ilimitado,Revendas,Gabriela Silva
24921,inactive,Topázzio Veículos,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
24922,inactive,SS Motors,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
24923,inactive,House Car,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
24924,inactive,América Veículos A.,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
24925,active,Buenocar Veículos,Revenda,company,Goiânia,Goiás,Carteira CS - Kelly Viana,Site Revenda,Revendas,Gabriela Silva
24926,inactive,Wolf Motors,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
24927,active,Mvc Veiculos,Revenda,company,Goiânia,Goiás,Carteira CS - Kelly Viana,Anuncio Revenda Ilimitado,Revendas,Gabriela Silva
24928,active,Barbosa Automóveis Mutirão,Revenda,company,Goiânia,Goiás,Carteira CS - Kelly Viana,Plano Revenda 40,Revendas,Gabriela Silva
24929,inactive,Bevel Multimarcas,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
24930,inactive,Rezende Veículos,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
24931,active,Silvio Veiculos,Revenda,company,Goiânia,Goiás,Carteira CS - Kelly Viana,Anuncio Revenda Ilimitado,Revendas,Gabriela Silva
24932,inactive,Olimpios Veículos,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
24933,inactive,Investcar Automóveis,Revenda,company,Goiânia,Goiás,Carteira UsadosBR,#N/A,Revendas,Gabriela Silva
